Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
GMRS / FRS,GMRS-01 462.5625,25K,High,462.5625,462.5625,Off,Off,Off
GMRS / FRS,GMRS-02 462.5875,25K,High,462.5875,462.5875,Off,Off,Off
GMRS / FRS,GMRS-03 462.6125,25K,High,462.6125,462.6125,Off,Off,Off
GMRS / FRS,GMRS-04 462.6375,25K,High,462.6375,462.6375,Off,Off,Off
GMRS / FRS,GMRS-05 462.6625,25K,High,462.6625,462.6625,Off,Off,Off
GMRS / FRS,GMRS-06 462.6875,25K,High,462.6875,462.6875,Off,Off,Off
GMRS / FRS,GMRS-07 462.7125,25K,High,462.7125,462.7125,Off,Off,Off
GMRS / FRS,FRS-08 467.5625,12.5K,Low,467.5625,467.5625,Off,Off,On
GMRS / FRS,FRS-09 467.5875,12.5K,Low,467.5875,467.5875,Off,Off,On
GMRS / FRS,FRS-10 467.6125,12.5K,Low,467.6125,467.6125,Off,Off,On
GMRS / FRS,FRS-11 467.6375,12.5K,Low,467.6375,467.6375,Off,Off,On
GMRS / FRS,FRS-12 467.6625,12.5K,Low,467.663,467.663,Off,Off,On
GMRS / FRS,FRS-13 467.6875,12.5K,Low,467.6875,467.6875,Off,Off,On
GMRS / FRS,FRS-14 467.7125,12.5K,Low,467.7125,467.7125,Off,Off,On
GMRS / FRS,GMRS-15 462.5500,25K,High,462.5500,462.5500,Off,Off,Off
GMRS / FRS,GMRS-16 462.5750,25K,High,462.5750,462.5750,Off,Off,Off
GMRS / FRS,GMRS-17 462.6000,25K,High,462.6000,462.6000,Off,Off,Off
GMRS / FRS,GMRS-18 462.6250,25K,High,462.6250,462.6250,Off,Off,Off
GMRS / FRS,GMRS-19 LineA,25K,High,462.6500,462.6500,Off,Off,Off
GMRS / FRS,GMRS-20 462.6750,25K,High,462.6750,462.6750,Off,Off,Off
GMRS / FRS,GMRS-21 LineA,25K,High,462.7000,462.7000,Off,Off,Off
GMRS / FRS,GMRS-22 462.7250,25K,High,462.7250,462.7250,Off,Off,Off
GMRS / FRS,RP1-WSEA,25K,High,462.5500,457.5500,Off,103.5,Off
GMRS / FRS,RP2-BHIL,25K,High,462.5750,467.5750,Off,103.5,Off
GMRS / FRS,RP3-CAPH,25K,High,462.6000,467.6000,Off,103.5,Off
GMRS / FRS,RP4-4MAG,25K,High,462.6250,467.6250,Off,100.0,Off
GMRS / FRS,RP6-MAPL,25K,High,462.6750,467.6750,Off,141.3,Off
GMRS / FRS,RP4-ETIG,25K,High,462.6250,462.6250,Off,141.3,Off
GMRS / FRS,RP5-OLYM,25K,High,462.6500,467.6500,Off,141.3,Off
GMRS / FRS,RP7-LKFP,25K,High,462.7250,467.7250,Off,141.3,Off
GMRS / FRS,RP7-SNOH,25K,High,462.7250,467.7250,Off,141.3,Off
GMRS / FRS,FRS-01 462.5625,12.5K,Low,462.5625,462.5625,Off,Off,Off
GMRS / FRS,FRS-02 462.5875,12.5K,Low,462.5875,462.5875,Off,Off,Off
GMRS / FRS,FRS-03 462.6125,12.5K,Low,462.6125,462.6125,Off,Off,Off
GMRS / FRS,FRS-04 462.6375,12.5K,Low,462.6375,462.6375,Off,Off,Off
GMRS / FRS,FRS-05 462.6625,12.5K,Low,462.6625,462.6625,Off,Off,Off
GMRS / FRS,FRS-06 462.6875,12.5K,Low,462.6875,462.6875,Off,Off,Off
GMRS / FRS,FRS-07 462.7125,12.5K,Low,462.7125,462.7125,Off,Off,Off
GMRS / FRS,MURS-1 151.820,12.5K,High,151.8200,151.8200,Off,Off,Off
GMRS / FRS,MURS-2 151.880,12.5K,High,151.8800,151.8800,Off,Off,Off
GMRS / FRS,MURS-3 151.940,12.5K,High,151.9400,151.9400,Off,Off,Off
GMRS / FRS,MURS-4 154.570,25K,High,154.5700,154.5700,Off,Off,Off
GMRS / FRS,MURS-5 154.600,25K,High,154.6000,154.6000,Off,Off,Off
